,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
93,lola,24.0,GN,1547358027.0,78.0,7.8,-8.53,64.73,2.57
94,klaksvik,92.0,FO,1547356800.0,93.0,62.23,-6.59,39.2,11.41
95,mbandaka,20.0,CD,1547358027.0,95.0,0.05,18.26,75.71,4.52
96,grand gaube,40.0,MU,1547355600.0,66.0,-20.01,57.66,84.2,11.41
97,sabang,92.0,PH,1547358028.0,90.0,13.72,123.58,78.5,14.14
98,butaritari,44.0,KI,1547358029.0,100.0,3.07,172.79,83.63,10.33
99,cravo norte,56.0,CO,1547358029.0,46.0,6.3,-70.2,86.15,10.63
100,cherskiy,32.0,RU,1547358030.0,60.0,68.75,161.3,-20.5,1.5
101,ponta do sol,92.0,BR,1547358030.0,99.0,-20.63,-46.0,63.2,1.05
102,bo phloi,0.0,TH,1547358030.0,48.0,14.32,99.52,91.37,9.28
103,orocue,44.0,CO,1547358031.0,51.0,4.79,-71.34,84.08,13.35
104,faanui,80.0,PF,1547358031.0,100.0,-16.48,-151.75,83.54,20.62
105,mahebourg,40.0,MU,1547355600.0,66.0,-20.41,57.7,84.2,11.41
106,bathsheba,20.0,BB,1547355600.0,73.0,13.22,-59.52,75.2,8.05
107,port alfred,0.0,ZA,1547358032.0,84.0,-33.59,26.89,69.32,8.55
108,puerto ayora,36.0,EC,1547358033.0,100.0,-0.74,-90.35,75.53,7.31
109,russkaya polyana,20.0,RU,1547358033.0,80.0,53.78,73.88,4.34,12.64
110,chaman,0.0,AF,1547358033.0,47.0,30.92,66.46,39.26,3.74
